Codici,ID Prodotto,Nome Prodotto,Produttore,Mese,Anno,Mese - Anno,Q.tà venduta,Canale di vendita
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2019 1L--2020--10",2106,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2019 1L",Agrestis soc.Cooperativa Agricola,10,2020,ottobre 2020,10,
"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2019 1L--2020--10",2107,"Olio extravergine di oliva ""NETTARIBLEO ORGANIC & DOP"" BIO 2019 1L",Agrestis soc.Cooperativa Agricola,10,2020,ottobre 2020,10,
"Olio EVO ""Zenia"" 1L BIO 2019--2020--10",2116,"Olio EVO ""Zenia"" 1L BIO 2019",Azienda agricola f.lli Mangano,10,2020,ottobre 2020,25,
"Olio EVO ""Zenia"" 750 ml BIO 2019--2020--10",2180,"Olio EVO ""Zenia"" 750 ml BIO 2019",Azienda agricola f.lli Mangano,10,2020,ottobre 2020,5,
"Olio EVO ""L'olio di Licia"" BIO 3L 2019--2020--10",2115,"Olio EVO ""L'olio di Licia"" BIO 3L 2019",Azienda Agricola Licia Guccione,10,2020,ottobre 2020,1,
Olio EVO Blend BIO 1L 2019--2020--10,2108,Olio EVO Blend BIO 1L 2019,Azienda Agricola Virzì,10,2020,ottobre 2020,47,
"Olio EVO verdello BIO 0,5L 2019--2020--10",2109,"Olio EVO verdello BIO 0,5L 2019",Azienda Agricola Virzì,10,2020,ottobre 2020,1,
"Olio EVO Primo Dop Monti Iblei 0,75L 2019--2020--10",2112,"Olio EVO Primo Dop Monti Iblei 0,75L 2019",Frantoi Cutrera SRL,10,2020,ottobre 2020,3,
Olio d’oliva “BACIO DI DONNA” 2 L 2019--2020--10,3040,Olio d’oliva “BACIO DI DONNA” 2 L 2019,DA.MA. IGD S.R.L SOC.AGRICOLA,10,2020,ottobre 2020,18,
"Olio extravergine di oliva DOP Polifemo 2019 0,5L--2020--10",2110,"Olio extravergine di oliva DOP Polifemo 2019 0,5L",Viragì sas,10,2020,ottobre 2020,2,
"Olio extravergine d'oliva SBEZI 2019 0,5L--2020--10",2111,"Olio extravergine d'oliva SBEZI 2019 0,5L",Viragì sas,10,2020,ottobre 2020,2,
Olio d’oliva “BACIO DI DONNA” 2 L 2019--2020--10,3040,Olio d’oliva “BACIO DI DONNA” 2 L 2019,DA.MA. IGD S.R.L SOC.AGRICOLA,10,2020,ottobre 2020,18,
"Olio EVO ""Zenia"" 1L BIO 2019--2020--10",2116,"Olio EVO ""Zenia"" 1L BIO 2019",Azienda agricola f.lli Mangano,10,2020,ottobre 2020,25,
Olio EVO Blend BIO 1L 2019--2020--10,2108,Olio EVO Blend BIO 1L 2019,Azienda Agricola Virzì,10,2020,ottobre 2020,47,
"Olio EVO Primo Dop Monti Iblei 0,75L 2019--2020--10",2112,"Olio EVO Primo Dop Monti Iblei 0,75L 2019",Frantoi Cutrera SRL,10,2020,ottobre 2020,3,
Olio d’oliva “BACIO DI DONNA” 2 L 2019--2020--10,3040,Olio d’oliva “BACIO DI DONNA” 2 L 2019,DA.MA. IGD S.R.L SOC.AGRICOLA,10,2020,ottobre 2020,18,
"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2019 1L--2020--10",2106,"Olio extravergine di oliva  "" VERD’OLIVO NOVELLO"" 2019 1L",Agrestis soc.Cooperativa Agricola,10,2020,ottobre 2020,10,
"Olio EVO ""Zenia"" 1L BIO 2019--2020--10",2116,"Olio EVO ""Zenia"" 1L BIO 2019",Azienda agricola f.lli Mangano,10,2020,ottobre 2020,25,
Olio EVO Blend BIO 1L 2019--2020--10,2108,Olio EVO Blend BIO 1L 2019,Azienda Agricola Virzì,10,2020,ottobre 2020,47,
Olio d’oliva “BACIO DI DONNA” 2 L 2019--2020--10,3040,Olio d’oliva “BACIO DI DONNA” 2 L 2019,DA.MA. IGD S.R.L SOC.AGRICOLA,10,2020,ottobre 2020,18,
"Olio EVO ""Zenia"" 1L BIO 2019--2020--10",2116,"Olio EVO ""Zenia"" 1L BIO 2019",Azienda agricola f.lli Mangano,10,2020,ottobre 2020,25,
"Olio EVO ""Zenia"" 750 ml BIO 2019--2020--10",2180,"Olio EVO ""Zenia"" 750 ml BIO 2019",Azienda agricola f.lli Mangano,10,2020,ottobre 2020,5,
"Olio EVO ""Zenia"" 1L BIO 2020--2020--10",2274,"Olio EVO ""Zenia"" 1L BIO 2020",Azienda agricola f.lli Mangano,10,2020,ottobre 2020,29,
"Olio EVO ""Zenia"" 3L BIO 2020--2020--10",2287,"Olio EVO ""Zenia"" 3L BIO 2020",Azienda agricola f.lli Mangano,10,2020,ottobre 2020,1,
"Olio EVO ""Zenia"" 5L BIO 2020--2020--10",2289,"Olio EVO ""Zenia"" 5L BIO 2020",Azienda agricola f.lli Mangano,10,2020,ottobre 2020,4,
